Age,Department,DistanceFromHome,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,YearsAtCompany,WorkLifeBalance,Attrition
50,Sales,29,1,3,10871,No,11,1,Yes
36,Sales,13,3,3,2731,No,8,3,No
29,Sales,17,2,2,4417,No,8,2,No
42,R&D,3,3,3,11034,No,9,3,No
40,Sales,8,4,4,8418,No,6,1,No
44,Human Resources,14,1,3,5123,Yes,12,4,No
32,R&D,3,3,2,11146,No,6,1,No
32,Human Resources,16,1,4,8901,Yes,2,4,No
45,Sales,13,1,1,9572,No,3,4,No
57,Sales,20,2,2,4776,Yes,4,4,No
45,Sales,24,2,1,9893,No,4,4,No
24,R&D,17,4,4,11287,No,8,2,No
43,Human Resources,13,5,2,6374,Yes,14,1,Yes
23,R&D,29,1,2,7030,Yes,1,3,No
45,R&D,6,5,4,9664,Yes,10,4,No
51,Sales,17,4,3,6997,No,14,4,No
59,R&D,14,1,2,13361,No,4,3,No
23,R&D,17,1,2,10433,Yes,11,3,Yes
42,Sales,8,5,1,4635,Yes,12,4,Yes
54,R&D,11,3,3,9227,No,13,3,No
33,Sales,20,2,1,14656,Yes,11,3,Yes
43,Sales,28,3,1,4065,No,11,2,No
46,Sales,1,5,3,2808,Yes,4,3,Yes
48,Sales,26,2,3,11034,No,1,1,No
49,R&D,7,3,4,11127,Yes,3,1,No
37,Sales,21,2,3,10868,No,5,1,No
36,Sales,21,1,2,2638,Yes,6,4,Yes
24,R&D,17,3,3,2693,No,9,1,No
58,R&D,10,2,4,5757,No,9,2,No
28,Human Resources,11,2,4,5735,No,9,1,No
42,R&D,22,2,4,3442,No,11,4,No
30,R&D,9,3,3,7120,No,1,2,No
39,Human Resources,9,4,3,14571,No,12,1,No
25,R&D,24,3,1,8220,No,9,2,Yes
46,R&D,5,5,1,13805,Yes,13,2,Yes
35,R&D,17,3,2,13654,No,8,4,No
30,R&D,9,2,1,8853,No,2,4,No
47,Human Resources,17,1,2,7457,Yes,13,2,Yes
23,R&D,24,3,4,11645,Yes,11,1,Yes
41,R&D,21,3,1,11994,Yes,1,4,Yes
49,Human Resources,19,2,3,5881,No,1,2,No
28,Sales,27,1,1,8339,Yes,12,3,Yes
29,Human Resources,7,1,2,5380,Yes,6,3,Yes
56,Sales,23,5,1,12879,Yes,9,4,Yes
35,Human Resources,9,3,4,7387,No,7,1,No
38,Human Resources,7,1,3,3045,No,5,3,No
57,R&D,13,1,2,4427,No,11,3,No
25,Sales,11,4,3,6652,Yes,2,3,No
23,R&D,14,4,3,2504,Yes,1,1,Yes
27,Sales,19,1,2,14173,No,2,1,No
25,Human Resources,11,5,3,8033,No,1,4,No
50,Human Resources,13,1,3,13945,No,3,4,Yes
39,Sales,14,2,1,12054,Yes,6,3,Yes
47,R&D,13,3,3,12512,No,13,1,No
55,R&D,1,5,3,7878,No,8,2,Yes
31,R&D,8,2,3,8733,Yes,3,3,No
57,R&D,12,5,3,5163,Yes,10,4,No
35,Human Resources,19,2,2,13630,No,9,1,No
52,Human Resources,12,3,4,11965,No,10,4,No
36,Human Resources,8,3,1,5826,No,5,4,No
29,Human Resources,8,4,3,6159,No,7,1,No
35,Human Resources,29,2,3,13637,No,8,3,Yes
44,R&D,21,4,2,13710,Yes,3,1,No
42,R&D,13,2,4,3631,No,2,3,No
37,R&D,12,4,3,7263,No,2,4,No
39,R&D,29,3,2,9237,Yes,5,1,Yes
45,Human Resources,16,5,1,13328,No,1,2,No
47,Human Resources,1,4,1,13721,Yes,2,3,Yes
46,Human Resources,13,2,3,13711,No,13,2,No
50,Sales,26,2,3,7592,No,9,3,No
36,R&D,7,3,4,8522,No,7,1,No
22,R&D,28,2,4,5659,No,6,2,No
46,Human Resources,26,1,3,8659,Yes,9,1,Yes
28,R&D,5,5,2,9818,No,7,3,No
30,R&D,8,4,4,10945,No,14,3,No
45,Human Resources,25,5,3,7807,No,11,3,No
22,Sales,27,3,4,11020,No,5,3,No
29,Sales,14,4,3,13283,No,9,4,No
45,Sales,23,4,1,13522,Yes,6,3,No
32,Human Resources,13,1,3,5544,No,6,2,No
38,R&D,15,3,1,12112,Yes,11,3,Yes
29,Human Resources,23,2,4,8136,Yes,4,1,Yes
56,Human Resources,17,1,3,14093,No,13,4,No
56,R&D,15,1,4,5392,No,12,2,No
54,Sales,20,5,1,7788,Yes,1,4,Yes
26,Sales,18,5,3,8312,No,5,4,No
49,Human Resources,18,5,4,3154,Yes,11,4,Yes
28,Sales,2,1,1,7981,No,9,1,No
30,Human Resources,4,2,4,3259,No,13,4,No
29,Human Resources,1,4,2,9282,No,8,4,No
33,R&D,4,5,1,4298,Yes,8,3,Yes
55,R&D,18,2,1,7659,No,5,1,No
54,R&D,5,3,1,13663,No,12,2,No
44,Human Resources,19,5,3,14118,No,9,2,No
45,R&D,15,4,3,10946,No,3,2,Yes
58,Sales,28,3,3,7762,No,3,1,No
56,Sales,8,3,2,6323,Yes,1,2,No
43,Human Resources,20,4,2,4376,No,9,1,No
48,Human Resources,17,5,1,13449,No,6,3,No
56,R&D,1,1,2,13316,Yes,2,3,No
22,Human Resources,12,4,4,8654,No,8,1,No
56,Human Resources,26,4,1,10287,Yes,12,2,Yes
58,Sales,19,4,1,14813,No,9,1,No
35,Sales,15,3,4,13696,No,9,1,No
24,R&D,9,2,1,7016,No,2,4,No
22,Human Resources,7,1,2,6234,No,2,1,No
26,Human Resources,2,5,3,11936,Yes,13,4,No
47,Sales,29,5,4,8472,No,7,3,No
35,Human Resources,9,2,2,9139,Yes,11,4,Yes
48,Sales,10,4,4,7856,No,4,1,No
30,R&D,2,1,4,8880,Yes,13,3,No
36,Sales,19,5,1,3508,No,1,4,No
36,Human Resources,11,5,1,6814,No,8,1,No
47,R&D,13,4,2,12202,No,2,3,No
34,Sales,10,2,4,12651,No,14,4,No
